Year,Month, Brunei Darussalam , Indonesia , Malaysia , Philippines , Thailand , Viet Nam , Myanmar 
1996,Jan,4600,75854,47953,10594,16996,1536, na 
1996,Feb,5207,98406,57795,10397,15892,1345, na 
1996,Mar,4290,75483,55908,13487,23085,1605, na 
1996,Apr,4063,73102,57477,15889,31643,1467, na 
1996,May,5266,72856,60156,14858,23901,1681, na 
1996,Jun,4543,106646,64730,11724,18922,1969, na 
1996,Jul,5358,110503,55219,11684,20151,1954, na 
1996,Aug,6245,82822,56621,11997,19165,2126, na 
1996,Sep,4597,75232,52026,12566,16500,2350, na 
1996,Oct,4079,86438,56312,13157,26526,1825, na 
1996,Nov,5083,82048,60006,13209,16730,1907, na 
1996,Dec,9864,123879,76733,14619,23054,2160, na 
1997,Jan,4741,86930,51168,11778,17482,1709,2102
1997,Feb,4350,122961,60067,10946,17079,1976,1925
1997,Mar,3739,90223,54780,16024,20685,1792,2378
1997,Apr,3969,88338,59677,15666,29631,1823,2640
1997,May,5509,83521,65487,16418,22094,1649,2582
1997,Jun,4842,111073,59035,13033,17245,2153,2605
1997,Jul,5896,143679,56137,13902,17195,2162,2257
1997,Aug,6119,91044,52493,12757,13662,2203,2306
1997,Sep,4315,85196,58419,13253,13398,1996,2414
1997,Oct,3845,79811,51022,13337,13863,1876,2507
1997,Nov,5331,86661,52918,13791,12736,1903,2595
1997,Dec,8498,102105,60839,14552,15247,2262,2923
1998,Jan,4243,76199,43368,11731,12183,1947,1301
1998,Feb,3949,64388,45077,11310,13390,1435,1392
1998,Mar,5660,63396,44830,12981,15029,1884,1773
1998,Apr,4981,59552,44793,14996,17979,1850,1813
1998,May,4971,121760,49151,14987,17320,1708,1777
1998,Jun,4713,77611,43702,12061,14562,2021,1485
1998,Jul,5133,79119,41413,11130,15094,1928,1369
1998,Aug,3717,76256,38710,11293,14463,2212,1477
1998,Sep,4055,63871,43272,10863,14238,1715,1390
1998,Oct,3929,73537,38392,11221,16628,1874,1564
1998,Nov,5165,73958,38597,11423,14128,2048,1265
1998,Dec,8954,100071,48264,11681,18993,2051,1856
1999,Jan,4629,114115,37231,10616,15062,1658,1380
1999,Feb,3560,73732,36404,10169,14539,2168,1387
1999,Mar,4189,87192,40066,14478,18413,1839,1656
1999,Apr,5092,78634,40327,15045,25438,1994,1715
1999,May,4831,122691,48918,16309,21066,2131,1591
1999,Jun,4922,125112,43084,14790,18133,2218,1901
1999,Jul,4423,108181,41136,12806,20363,2811,1566
1999,Aug,5150,91673,38867,12806,17500,2856,1641
1999,Sep,4366,86055,43747,13296,18338,2166,1725
1999,Oct,4049,100043,43272,14594,24510,2410,2009
1999,Nov,4945,91174,43396,13449,16878,2403,1669
1999,Dec,7144,131422,52751,13574,19235,2127,1906
2000,Jan,4138,149528,41261,11809,15792,1698,1479
2000,Feb,3538,88342,42072,13111,16981,3073,1525
2000,Mar,3628,102620,43849,16490,22217,2457,1790
2000,Apr,5527,100059,47993,19269,29985,2830,1971
2000,May,4586,91843,48783,18790,21959,2246,1831
2000,Jun,5533,105539,48426,14706,21446,3251,2062
2000,Jul,5448,128207,43423,13936,20357,2978,1669
2000,Aug,6658,96891,43952,14168,19311,3227,1822
2000,Sep,4545,94625,50267,13683,19266,2584,1655
2000,Oct,3958,105711,45592,15216,22009,2541,1704
2000,Nov,4477,94642,50641,14967,17934,2563,1906
2000,Dec,5877,155309,58491,14887,19493,2389,2677
2001,Jan,3830,115824,45594,12562,17330,2629,1713
2001,Feb,4373,94251,40761,14196,18039,2211,1639
2001,Mar,4668,110821,47514,17002,22656,2490,1808
2001,Apr,6392,94613,45923,21009,27816,2684,2211
2001,May,4867,99026,53572,19195,25807,2340,1595
2001,Jun,5522,109705,52523,15870,22556,3043,1962
2001,Jul,6083,135816,47020,14460,21522,3618,1754
2001,Aug,6596,107481,47436,15481,22090,3460,1601
2001,Sep,4665,98188,53851,14553,19644,3854,2038
2001,Oct,4436,115797,43037,15289,25476,2871,1783
2001,Nov,4418,99740,46272,14599,17845,2929,1622
2001,Dec,6414,183118,55216,16414,20177,2504,1949
2002,Jan,4031,105008,40207,13518,18648,2536,2048
2002,Feb,4090,90150,43635,13668,17579,2987,1367
2002,Mar,4517,114203,44116,20245,22804,2704,1768
2002,Apr,5508,98809,47413,20192,30425,3328,2086
2002,May,4283,99719,49524,21424,24040,2980,1698
2002,Jun,5132,116715,44066,16442,22060,3989,2060
2002,Jul,4915,139889,41200,13947,21246,4519,2052
2002,Aug,6290,105888,40172,13951,21075,4085,2144
2002,Sep,4529,102876,48193,13613,19413,3087,1775
2002,Oct,5100,117010,44455,16762,25699,3865,1799
2002,Nov,4599,105571,48399,15188,19006,3075,1696
2002,Dec,7053,197159,57267,16609,21870,3493,1844
2003,Jan,4190,128385,41067,14438,19668,2657,1807
2003,Feb,3789,100371,40312,15927,19673,4203,1395
2003,Mar,4147,103840,39542,15544,21581,2966,1687
